Exception 
         479298 function calls (455231 primitive calls) in 1.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1185    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      300    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1621    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.849    0.283 connection.py:105(_connect)
        3    0.000    0.000    1.171    0.390 _client.py:1001(_send_single_request)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
   106/40    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
     1621    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      110    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       93    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      105    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      144    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      635    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        7    0.000    0.000    0.318    0.045 http11.py:209(_receive_event)
        3    0.000    0.000    1.169    0.390 default.py:230(handle_request)
       88    0.000    0.000    0.000    0.000 element.py:1627(__init__)
      363    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        3    0.000    0.000    0.000    0.000 typing.py:2780(__new__)
       60    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
      591    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
        6    0.000    0.000    0.001    0.000 _models.py:1249(__init__)
      525    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        3    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      357    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      242    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      286    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
  547/340    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        3    0.000    0.000    0.756    0.252 ssl.py:956(_create)
      491    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
      416    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      291    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      507    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        6    0.000    0.000    0.001    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
        4    0.000    0.000    0.001    0.000 _urlparse.py:213(urlparse)
      896    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        6    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       54    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1082    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      767    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  241/235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       87    0.000    0.000    0.001    0.000 _htmlparser.py:142(handle_starttag)
       18    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       40    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
