Exception 
         477663 function calls (453212 primitive calls) in 6.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 response.py:602(__init__)
        3    0.000    0.000    1.301    0.434 adapters.py:590(send)
       40    0.000    0.000    0.352    0.009 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
      211    0.000    0.000    0.000    0.000 filter.py:725(match)
        9    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
       54    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        3    0.000    0.000    0.000    0.000 response.py:341(__init__)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       31    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       22    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      322    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      273    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x102a54d60}
       11    0.000    0.000    0.002    0.000 cookiejar.py:1680(extract_cookies)
        4    0.000    0.000    0.001    0.000 url.py:367(parse_url)
      138    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      797    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      220    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
        7    0.000    0.000    0.000    0.000 request.py:2579(_proxy_bypass_macosx_sysconf)
      649    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      660    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        4    0.000    0.000    0.003    0.001 utils.py:207(get_netrc_auth)
        3    0.000    0.000    1.298    0.433 connectionpool.py:592(urlopen)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       33    0.000    0.000    0.000    0.000 queue.py:122(put)
      649    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       85    0.000    0.000    0.001    0.000 __init__.py:1056(handle_endtag)
        3    0.000    0.000    0.132    0.044 connection.py:27(create_connection)
       65    0.000    0.000    0.000    0.000 __init__.py:909(_linkage_fixer)
      743    0.000    0.000    0.000    0.000 _parser.py:83(groups)
     1129    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.002    0.001 adapters.py:336(build_response)
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
        5    0.000    0.000    0.001    0.000 cookies.py:521(cookiejar_from_dict)
     1129    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        3    0.000    0.000    0.000    0.000 {built-in method today}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       11    0.000    0.000    0.002    0.000 cookies.py:124(extract_cookies_to_jar)
      428    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
       87    0.000    0.000    0.000    0.000 parser.py:345(check_for_whole_start_tag)
  166/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        6    0.000    0.000    0.001    0.000 cookiejar.py:949(set_ok)
       84    0.000    0.000    0.000    0.000 typing_extensions.py:3228(_collect_parameters)
        9    0.000    0.000    0.000    0.000 cookiejar.py:761(__init__)
       10    0.000    0.000    0.000    0.000 response.py:281(get)
      141    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       15    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       23    0.000    0.000    0.000    0.000 parse.py:931(quote_from_bytes)
       22    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
      490    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      215    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      299    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       15    0.000    0.000    0.000    0.000 threading.py:124(RLock)
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       15    0.000    0.000    0.001    0.000 structures.py:40(__init__)
      506    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       34    0.000    0.000    0.000    0.000 _collections.py:300(add)
       54    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        3    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
       87    0.000    0.000    0.000    0.000 filter.py:539(matches_tag)
      123    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      125    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_data)
      327    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
        3    0.000    0.000    0.000    0.000 models.py:658(__init__)
       87    0.000    0.000    0.001    0.000 _htmlparser.py:204(handle_endtag)
        3    0.000    0.000    0.002    0.001 client.py:231(_parse_header_lines)
       24    0.000    0.000    0.000    0.000 cookiejar.py:550(domain_match)
        3    0.000    0.000    0.729    0.243 ssl.py:956(_create)
        3    0.000    0.000    0.131    0.044 socket.py:946(getaddrinfo)
       43    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      355    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        7    0.000    0.000    0.002    0.000 cookiejar.py:1272(_cookies_for_domain)
       84    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
      368    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      192    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       46    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
        8    0.000    0.000    0.001    0.000 cookies.py:358(update)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       12    0.000    0.000    0.001    0.000 response.py:941(read)
       53    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
       40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      515    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       11    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        2    0.000    0.000    0.000    0.000 adapters.py:178(__init__)
        3    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
        7    0.000    0.000    0.014    0.002 utils.py:755(should_bypass_proxies)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        3    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
       30    0.000    0.000    0.000    0.000 connection.py:453(<genexpr>)
