Exception 
         477470 function calls (453051 primitive calls) in 1.409 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       46    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        3    0.000    0.000    1.226    0.409 connectionpool.py:592(urlopen)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 filter.py:130(filter)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      244    0.000    0.000    0.000    0.000 types.py:192(__init__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:949(set_ok)
      115    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      507    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       32    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        3    0.000    0.000    1.227    0.409 adapters.py:590(send)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
        3    0.000    0.000    0.417    0.139 client.py:291(_read_status)
        3    0.000    0.000    0.102    0.034 connection.py:27(create_connection)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      322    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
    80/47    0.000    0.000    0.083    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        7    0.000    0.000    0.000    0.000 request.py:2579(_proxy_bypass_macosx_sysconf)
        3    0.000    0.000    0.418    0.139 client.py:324(begin)
       15    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.013    0.004 utils.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
        3    0.000    0.000    0.000    0.000 {built-in method today}
       87    0.000    0.000    0.000    0.000 __init__.py:789(popTag)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      192    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      211    0.000    0.000    0.000    0.000 filter.py:725(match)
